Word,Meaning
be composed of,~으로 구성되다
be contingent upon,"~에 따라 결정되다, ~에 달려 있다"
be designed to do,~하도록 고안되다
be determined to do,~하기로 결심하다
be familiar with,"~을 잘 알고 있다, ~에 익숙하다"
be filled with,~으로 채워지다
be full of,~으로 가득하다
be geared to,~에 맞춰져 있다
be held,(행사가) 열리다
be held up,잡히다; 지연되다
be held up in traffic,교통체증에 걸리다
be highly regarded,높이 평가되다
be in a position to,~할 입장에 있다
be in agreement,동의하다
be in line,줄서다
be in the black,흑자 상태에 있다
be in the mood for-ing,~하고 싶은 기분이다
be in the red,적자 상태에 있다
be influenced by appearance,겉모습에 영향을 받다
be irrelevant to,~과 무관하다
be known as,~으로 알려져 있다
be known for,~으로 알려져 있다
be left unattended,방치되다
be likely to,~할 가능성이 있다
be lined with,줄지어 있다
be made of,~으로 만들어지다
be made up of,~으로 구성되다
be mounted on,"~에 설치되어 있다,고정되어 있다"
be noted for,~으로 유명하다
be of particular interest to,~가 특별히 관심을 가질만하다
be on a special diet,특수 식이 요법 중이다
be on a trip,여행을 하다
be on another call,다른 전화를 받고 있다
be on medication,약물 치료 중이다
be open for business,영업 중이다
be oriented to,~에 중점을 두다
be owned by,~의 소유이다
be paid for,~에 대해 보수를 받다
be qualified for,~을 위한 자격을 갖추다
be related to,~에 관련되다
be reluctant to do,~하기를 꺼리다
be satisfied with,~에 만족하다
be scheduled for,~로 예정되어 있다
be seated,"앉다, 앉아 있다"
be sensitive to,~에 민감하다
be shaded,"그늘져 있다, 가려져 있다"
be similar to,~과 유사하다
be spread out,펼쳐져 있다
be suited for,~에 적합하다
be supposed to do,~하기로 되어 있다
be surrounded by,~에 둘러싸이다
be tired of,~에 실증이 나다
be towed away,(차가) 견인되다
be unwilling to do,~하기를 꺼리다
be up late,늦게까지 깨어있다
be used to -ing,~에 익숙하다
beach,해변
bear,~을 몸에 지니다
beat,(심장·맥박이) 뛰다
begin,시작하다
beginning,"시작, 초기의"
behind schedule,일정이 늦은
belatedly,뒤늦게
belief,"신념, 믿음"
believe it or not,믿거나 말거나
belong to,"~에 속하다, 의 소유물이다"
belongings,"소지품, 소유물"
bend over,몸을 앞으로 숙이다
beneficial,"유익한, 이로운"
benefit,"혜택, 이익, 혜택을 보다, 이익을 얻다"
beside the point,요점을 벗어난
besides,"게다가, 뿐만 아니라, ~외에"
best-selling,베스트셀러의
best-selling author,베스트셀러 작가
beverage,음료
beware,조심하다
bewildering,당혹게 하는
beyond,"~을 넘어서, ~이상으로"
biannual,연 2회의
biased,편향된
bicycle rack,자전거 보관대
bid,입찰
bike,"자전거, 오토바이"
bilateral,쌍방의
bilingual,2개 국어를 구사하는
bill,"~에게 청구서를 보내다, 청구서, 계산서"
billing address,청구서 주소
billing information,청구서 정보
biography,"약력, 전기"
bite,"물다, 한 입"
biweekly,"격주의, 격주로"
blackout,정전
blame A on B,A를 B의 탓으로 돌리다
blemish,"흠, 결점"
blend,"섞다, 혼합하다"
blind,눈이 먼
blink,눈을 깜박이다
blood pressure,혈압
blood supply,혈액 공급
blueprint,"청사진, 계획"
blurry,흐릿한
board,"탑승하다, 이사회"
board flight,비행기에 탑승하다
board meeting,임원 회의
board of directors,이사회
boarding gate,탑승구
boarding pass,(비행기)탑승권
boarding time,탑승 시간
boardroom,회의실
boast about,"~을 자랑하다, 뽐내다"
boat,"보트, 작은 배"
body of water,물줄기
bold,"대담한, 용감한"
boldly,대담하게
bond,채권
bonus,"상여금, 보너스"
book,예약하다
bookcase,"책장, 책꽂이"
booking,예약
bookkeeper,경리
bookkeeping,부기
booklet,소책자
bookshelf,책꽂이
boom,"붐, 호황"
boost,"(경기를) 부양시키다, 상승시키다"
border,국경
borrow,빌리다
botanical,식물의
botanical garden,식물원
bother,괴롭히다
bother to do,~하느라 애쓰다
bottle,병에 담다
bounce,(수표 등이) 부도가 나 되돌아오다
bound,"의무가 있는, 꼭~하게 되어 있는"
bound for,(기차·배가)~행인
box office,매표소
boycott,"불매하다, 불매 운동"
branch,"지사, 분점, 나뭇가지"
branch office(=satellite office),"지점, 지사"
brand,"상표, 브랜드"
brand new,최신의
break down,고장 나다
break-even point,손익 분기점
breakage,"파손, 파손물"
breaking news,속보
breakthrough,(과학 등의) 비약적 발전
brew,"끓이다, 양조하다"
brief,"~에게 간단히 설명하다, 브리핑 하다"
briefcase,서류 가방
bring,가져오다
bring about,야기하다
bring along,"~을 데리고 가다, ~을 갖고 가다"
bring in,"(시스템을)도입하다, (돈을)벌다"
bring on,~을 초래하다
bring out,"(제품을)출시하다,(능력을)끌어내다"
bring together,불러 모으다
bring up,(문제를)제기하다
brisk,"활발한, 호황의"
broadcast,"방송하다, 방송"
broaden,넓히다
broadly,대략
brochure,"(홍보용) 소책자, 브로셔"
broker,중개인
brokerage,"중개, 중개업소"
browse,"훑어보다, 둘러보다"
buckle up,안전벨트를 매다
budget,예산
buffet,뷔페
built-in,붙박이의
bulk,대량의
bulletin board,게시판
bump into,~을 우연히 만나다
burdensome,"부담스러운, 힘든"
bureaucracy,관료 제도
bus stop,버스 정류장
bush,관목
business attire,비즈니스 정장
business card,명함
business class,(비행기의) 비즈니스석
business contacts,사업상 아는 사람 또는 회사
business day,영업일
business deal,사업 거래
business hours,영업 시간
business management,경영(학)
business practice,사업 관행
business talk,사업 이야기
business trip,출장
busy,바쁜
busy street,붐비는 거리
butcher's shop,정육점
button up,단추를 채워 잠그다
buy,"사다, 구입하다"
buzzing,"윙윙 소리를 내는, 와글거리는"
by a considerable margin,큰 차이로
by air,비행기로
by all means,"반드시, 무슨 일이 있어도, 물론이지"
by check,수표로
by contrast,그와 대조적으로 
by credit card,신용카드로
by hand,"인편으로, 손으로"
by mistake,실수로
by no means,결코 ~이 아닌
by oneself,혼자 힘으로
by telephone,전화로
by the end of the year,연말까지
by the time,그때까지
by this time,지금쯤
by way of,"~의 방법으로, ~에 의해서"
bypass,우회로
cab,택시
cabin,"조종실, 통나무집"
cafeteria,(회사·학교의)구내식당
calculate,"계산하다, 산출하다"
calculation,계산
call back,회신 전화하다
call for,"~을 요구하다, ~을 가지러 들르다"
call for some assistance,도움을 청하다
call in sick,전화로 병결을 알리다
call off,취소하다
call on,"~를 방문하다,부르다"
call on urgent meeting,비상 회의를 소집하다
call out,~를 부르다
campaign,"운동, 캠페인"
canal,"운하, 수로"
cancel,취소하다
cancellation,취소
candidate,"후보자, 지원자"
canopy,"덮개, 차양"
capability,"능력, 역량"
capable,"~을 할 수 있는, ~할 능력이 있는"
capacity,"용량, 수용력, 역할"
capital,자본
capitalize on,"~을 이용하다, 기회로 삼다"
captivate,"~의 마음을 사로잡다, 매혹하다"
capture,"(감정·분위기 등을) 담아내다, 포착하다"
car maintenance,자동차 정비
car rental,자동차 대여
care for,"~를 돌보다, ~를 좋아하다"
career,"직업,경력"
careful,"조심스러운, 주의 깊은"
carefully,"주의 깊게, 신중히"
carelessly,부주의하게
cargo,"화물, 짐"
carousel,(공항의) 회전식 수화물 컨베이어
carpentry,목수일
carpool,승용차 함께 타기를 하다
carriage,차량
carrier,"항공사, 수송기, 수송 회사"
carry,"지니다, (물품을) 팔다, 가게에 놓다"
carry a large parcel,큰 짐을 운반하다
carry out market studies,시장 조사를 수행하다
carry-on baggage,기내 휴대 수하물
cart,쇼핑 카트
carton,(큰) 판지 상자
cartridge,(프린트 등의) 잉크 카트리지
case,(특정한 상황의)경우
cash,현금으로 바꾸다
cash register,"금전 등록기, 계산대"
cash reserves,현금 보유고
cashier,(은행·상점·호텔 등의) 출납원
cast a ballot,투표하다
cast a shadow,그림자를 드리우다
casual,"격식을 차리지 않는, 평상복의"
casually,"(복장을)캐주얼하게, 약식으로"
casualty,"사상자, 부상자"
catalog,"목록, 카탈로그"
category,"범주, 부분"
cater,(연회 등의)음식물을 공급하다
caterer,요리조달자
catering service,출장 요리 서비스
cause,"~을 야기하다, ~의 원인이 되다, 원인"
caution,"주의, 조심"
cautious,"조심하는, 신중한"
cautiously,조심스럽게
cave,동굴
cavity,충치
cease,"중지하다, 그치다"
ceiling,천장
celebrate,축하하다
celebration,축하
celebratory,"기념하는, 축하하는"
celebrity,"유명 인사, 명사"
censorship,검열(제도)
censure,비난
central,"중심이 되는, 가장 중요한"
central office,중앙 사무실
cereal,시리얼
ceremonial,"의식의, 예식의"
certain,"확신하는, 확실한, 특정한"
certainly,확실히
certificate,"증명서, 증서"
certification,"증명서,증명"
certified,"공인된, 면허를 받은"
chair,"의장을 맡다, 사회를 맡다"
chairperson,의장
challenge,"도전, 도전하다"
challenging,"도전적인,힘든"
chance,"가능성, 기회"
change,잔돈
channel,해협; 수로
characteristic,"특징, 특성"
charge,"요금, 청구 금액, 책임, 의무, ~을 청구하다
(외상으로) 달아놓다"
charge for,~에 대한 대금
charitable,자선의
charity,자선 단체
charter plane,전세 비행기
chase,"뒤쫓다, 추구하다"
chat,"담소, 담소를 나누다"
check,"검사, 검사하다, 조사하다, 확인하다"
check in,"체크인하다, 숙박 수속을 하다"
check out,"(책을) 대여하다, 빌리다"
checklist,점검표
checkup,건강 진단
cheerful,"쾌활한, 명랑한"
chef,주방장
chemical,화학 제품
chemist,화학자
chief,"주된, (직급상)최고위자인, (단체의) 최고위자"
chief financial officer(CEO),최고 재무 책임자
child care,"육아, 보육"
chilly,쌀쌀한
choice,"선택물, 선택 사항, 선택"
choir,합창단
chop,잘게 썰다
chronic,만성의
chronological,"시간 순의, 연대 순의"
cinema,"영화관, 극장"
circulate,"순환하다, 순환시키다"
circumscribe,~을 제한하다
circumstances,"상황, 환경"
citation,"인용구, 인용, 표창장"
cite,언급하다
city official,시 공무원
claim,"(사실·소유권의)주장,요구,청구"
claim refund,환불을 요구하다
claims department,보험 보상 부서
clap,"박수, 손뼉 치다"
clarify,명확하게 하다
clash,"(의견의)충돌, 불일치"
classification,분류; 등급
classified,기밀의
classified ad,짧은 신문 광고
clean,"깨끗한, 청소하다, 깨끗하게 하다"
clean up,"치우다, 청소하다"
cleaning supply,청소 용품
cleanliness,청결
cleanup,대청소
clear,"말게 갠, 명백한, 분명한, 또렷하게, 완전히,
떨어져서"
clear A from B,A를 B에서 치우다
clearance,"정리, 없애기, 허가"
clearly,명확히
clerical,"사무원의, 서기의"
clerk,"사원, 점원"
client,"고객, 의뢰인"
clientele,"(집합적)고객들, (변호사·건축가 등의)모든 의뢰인"
cliff,절벽
climb,"오르다, 상승하다"
climb a mountain,산에 오르다
clinic,"진료소, 상담소"
cloakroom,(식당·극장의) 휴대품 보관소
close a deal,계약을 체결하다
close down,"폐쇄하다, 폐업하다"
closely,"면밀히, 엄밀히"
closing,"폐쇄, 폐회의, 마감하는"
closure,폐쇄
clothing,의류
clothing line,의류 상품
clout,영향력
cluster,무리
code,"규범, 관례, 암호"
coherent,"(이야기가) 조리 있는, 일관성 있는"
coil,똘똘 감다
coin,동전
coincidentally,"우연히, 일치하게, 동시 발생적으로"
cold,"감기, 추위, 추운"
collaborate,"협력하다,공동으로 일하다"
collaboration,공동 작업(연구)
collapse,붕괴
collateral,"담보, 저당물"
colleague,(직업상의) 동료
collect,"모으다, 수집하다"
collectable,모을 수 있는
collection,"소장품, 수집물, 징수, 수금"
collectively,"집합적으로, 총괄하여"
collide,충돌하다
collision,충돌
column,"기둥, 원주"
combination,"결합, 연합"
combine,결합시키다
combine A with B,A를 B와 결합시키다
combined,"결합된, 합동의"
combustible,"타기 쉬운, 흥분하기 쉬운"
come across,우연히 만나다
come along,"함께 가다, 함께 오다"
come apart,부서지다
come loose,"풀리다, 느슨해지다"
come over,"방문하다, 오다"
come to a decision,결정을 내리다
come to a standstill,"멈추다, 정지하다"
come to an agreement,합의에 도달하다
come to an end,끝나다
come to power,권력을 잡다
comfort,"위로하다, 위로"
comfortable,편안한
comforting,위로가 되는
coming,다가오는
command,"(언어)구사력, 명령, 지배력"
commemorate,기념하다
commemorative,기념하는
commence,시작되다
commend,칭찬하다
commensurate,"비례한, 액수가 상응하는"
comment,"논평하다, 언급하다"
commentary,"해설, 설명"
commerce,"통상, 교역"
commercial,"상업의, 상업적인, 광고"
commercial relations,통상 관계
commercial space,상업공간
commercial use,상업적 이용
commercial value,상업적 가치
commission,"수수료,커미션,위원회,(일 등을)의뢰하다,
주문하다"
commit,"헌신하다, 전념하다"
commitment,"헌신, 전념"
committee,위원회
commodity,"상품, 산물"
common interest,"공동의 이익, 공동 관심사"
commonplace,"평범한 일, 흔한 일, 평범한, 흔한"
communicate,의사소통하다
community,"지역 사회, 공동체"
commute,통근하다
commuter,통근자
compact,소형의
compact car,소형차
company,"동료, 일행, 손님, 회사"
company regulations,회사 규정
comparable,"필적하는, 비교되는"
compare,비교하다
comparison,비교
compartment,"구획, 칸막이"
compatible,"호환되는, 양립할 수 있는"
compelling,"흡인력 있는, 설득력 있는"
compensate,보상하다
compensation,"보상금, 보상"
competent,"유능한, 능숙한"
competition,경쟁
competitive,"경쟁을 하는, 경쟁력 있는"
competitiveness,경쟁력
competitor,"경쟁업체, 경쟁자"
compilation,"편집,편집물"
compile,"(자료 등을) 편집하다, 모으다"
complain,불평하다
complaint,불평
complementary,보완적인
complete,"완료하다, 완성하다, 완료된, 완성된"
completely,"전적으로, 완전히"
completion,"완료,완성"
complex,"(건물 등의) 집합체, 단지"
compliance,(명령 〮 법규에의) 준수
compliant,준수하는
complicate,복잡하게 하다
complicated,복잡한
complication,복잡한 문제
compliment,"찬사, 칭찬"
complimentary,"무료의, 우대의"
comply,"준수하다, 따르다"
component,"부품, (구성)요소"
compose,"작성하다, 구성하다"
composition,구성
comprehensible,"이해할 수 있는,알기 쉬운"
comprehensive,"종합적인, 포괄적인"
compressed,"압축된, 압착된, 간결한"
compromise,"타협,화해"
compulsory,의무적인
computer literate,컴퓨터 사용 기술을 가진
conceal,감추다
concentrate,"집중하다, 집중시키다"
concern,"우려, 걱정, 문제, 일
~을 걱정스럽게 하다, 영향을 미치다, 관련되다"
concerned,"염려하는, 걱정하는, 관련된"
concerning,~에 관하여
concert,콘서트
concession,"양보, (당국의) 면허"
concierge,(호텔의) 안내인
concisely,간결하게
conclude,결론을 내리다
conclusive,"결정적인, 단호한"
concourse,"중앙 홀,중앙 광장"
concrete,구체적인
concurrently,동시에
condense,"(표현을) 간추리다, 요약하다"
condensed,"요약한, 응축한, 압축한"
condition,조건
conditional,조건부의
conduct,"(업무의) 수행, (업무 등을)수행하다"
confer,"협의하다,의논하다"
conference,"회의, 회담"
conference call,전화회담
conference room,회의실
